"","year","plot","diameter","height","species","status","height_m","diameter_cm"
"259",2023,44,1.1,15,"Ilex opaca",1,4.572,2.794
"260",2023,44,1.1,15,"Ilex opaca",1,4.572,2.794
"261",2023,51,5.9,45,"Ilex opaca",1,13.716,14.986
"262",2023,51,5.6,45,"Ilex opaca",1,13.716,14.224
"263",2023,51,1.1,14,"Ilex opaca",1,4.2672,2.794
"264",2023,53,11.4,53,"Ilex opaca",1,16.1544,28.956
"265",2023,53,7.4,46,"Ilex opaca",1,14.0208,18.796
"266",2023,53,2.2,24,"Ilex opaca",1,7.3152,5.588
"267",2023,2,NA,NA,"Ilex opaca",2,NA,NA
"268",2023,3,NA,NA,"Ilex opaca",0,NA,NA
"269",2023,15,5.9,39,"Ilex opaca",1,11.8872,14.986
"270",2023,15,8.9,46,"Ilex opaca",1,14.0208,22.606
"271",2023,33,NA,NA,"Quercus texana",2,NA,NA
"272",2023,33,NA,NA,"Quercus texana",2,NA,NA
"273",2023,33,10.7,52,"Quercus texana",1,15.8496,27.178
"274",2023,33,8.9,39,"Quercus texana",1,11.8872,22.606
"275",2023,33,1.2,14,"Quercus texana",1,4.2672,3.048
"276",2023,33,7.6,56,"Quercus texana",1,17.0688,19.304
"277",2023,33,9.8,60,"Quercus texana",1,18.288,24.892
"278",2023,33,NA,NA,"Quercus texana",0,NA,NA
"279",2023,33,7.6,60,"Quercus texana",1,18.288,19.304
"280",2023,21,NA,NA,"Ulmus americana",2,NA,NA
"281",2023,23,9.5,56,"Ilex opaca",1,17.0688,24.13
"282",2023,28,1.3,18,"Ilex opaca",1,5.4864,3.302
"283",2023,68,5.6,33,"Ilex opaca",1,10.0584,14.224
"284",2023,69,4,30,"Ilex opaca",1,9.144,10.16
"285",2023,7,2.3,21,"Ilex opaca",1,6.4008,5.842
"286",2023,42,3.5,16,"Ilex opaca",1,4.8768,8.89
"287",2023,42,1.2,18,"Ilex opaca",1,5.4864,3.048
"288",2023,42,1.9,22,"Ilex opaca",1,6.7056,4.826
"289",2023,42,5.4,39,"Ilex opaca",1,11.8872,13.716
"290",2023,73,11.6,71,"Quercus texana",1,21.6408,29.464
"291",2023,73,12.3,65,"Quercus texana",1,19.812,31.242
"292",2023,73,12.5,63,"Quercus texana",1,19.2024,31.75
"293",2023,73,15.7,68,"Quercus texana",1,20.7264,39.878
"294",2023,73,11.8,73,"Quercus texana",1,22.2504,29.972
"295",2023,73,11.8,65,"Quercus texana",1,19.812,29.972
"296",2023,73,11.6,66,"Quercus texana",1,20.1168,29.464
"297",2023,73,11.2,68,"Quercus texana",1,20.7264,28.448
"298",2023,73,17.1,80,"Quercus texana",1,24.384,43.434
"299",2023,73,17.6,75,"Quercus texana",1,22.86,44.704
"300",2023,5,9.5,68,"Ulmus americana",2,20.7264,24.13
"301",2023,5,20.1,80,"Quercus texana",1,24.384,51.054
"302",2023,5,9.3,57,"Ulmus americana",1,17.3736,23.622
"303",2023,5,6.6,52,"Ulmus americana",1,15.8496,16.764
"304",2023,5,2.5,39,"Ulmus americana",1,11.8872,6.35
"305",2023,14,NA,NA,"Ulmus americana",2,NA,NA
"306",2023,14,9.9,42,"Quercus texana",1,12.8016,25.146
"307",2023,14,NA,NA,"Quercus texana",2,NA,NA
"308",2023,14,NA,NA,"Quercus texana",2,NA,NA
"309",2023,35,21.7,88,"Ulmus americana",1,26.8224,55.118
"310",2023,140,3.2,32,"Ilex opaca",1,9.7536,8.128
"311",2023,140,3.7,31,"Ilex opaca",1,9.4488,9.398
"312",2023,140,8.2,42,"Ilex opaca",1,12.8016,20.828
"313",2023,140,7.7,39,"Ilex opaca",1,11.8872,19.558
