"county_code","year","number_trees","trees_alive","species_richness","diameter","height","region"
17,2012,401,353,29,6.66064837905237,45.0485933503836,"Northwest"
17,2013,272,240,25,7.31588235294118,47.6568265682657,"Northwest"
17,2014,305,254,26,8.46324590163935,49.6786885245902,"Northwest"
17,2015,342,250,24,6.58428125,47.2625,"Northwest"
17,2016,270,203,32,6.6062962962963,41.7592592592593,"Northwest"
17,2017,313,190,22,7.15752808988764,49.5767790262172,"Northwest"
17,2018,409,315,34,7.41962962962963,50.9530864197531,"Northwest"
17,2019,362,219,27,8.19352601156069,53.621387283237,"Northwest"
17,2020,318,182,30,7.7103825136612,52.4808743169399,"Northwest"
17,2021,306,217,25,9.93070175438596,61.1622807017544,"Northwest"
17,2022,315,237,23,7.95977011494253,58.1034482758621,"Northwest"
17,2023,283,219,25,8.28701298701299,54.0692640692641,"Northwest"
17,2024,247,185,24,7.68265306122449,48.1122448979592,"Northwest"
17,2025,410,340,31,8.50162601626016,57.1978319783198,"Northwest"
19,1974,859,762,33,9.95844004656577,NA,"Southwest"
19,1984,617,451,36,8.87050243111831,63.4019292604502,"Southwest"
19,1991,971,831,38,8.84191555097837,62.1104294478528,"Southwest"
19,2001,501,434,37,8.78610778443114,52.1556886227545,"Southwest"
19,2002,236,196,17,7.44050847457627,42.25,"Southwest"
19,2003,195,187,16,6.72148717948718,37.7333333333333,"Southwest"
19,2004,200,152,16,8.82925,51.205,"Southwest"
19,2005,174,145,15,6.97465517241379,44.9885057471264,"Southwest"
19,2009,192,128,22,7.78703125,49.1770833333333,"Southwest"
19,2010,263,171,18,6.85041825095057,43.5285171102662,"Southwest"
19,2011,311,199,19,8.32807073954984,49.4788273615635,"Southwest"
19,2012,136,93,11,7.38419117647059,41.5373134328358,"Southwest"
19,2013,359,292,17,5.74261838440111,41.0084033613445,"Southwest"
19,2014,122,80,16,7.96565573770492,45.7868852459016,"Southwest"
19,2015,271,171,17,7.33348837209302,45.893023255814,"Southwest"
19,2016,316,244,24,6.63889240506329,42.0601265822785,"Southwest"
19,2017,344,275,22,6.55178125,40.225,"Southwest"
19,2018,211,90,15,4.49842975206612,34.2809917355372,"Southwest"
19,2019,152,124,9,7.42618421052632,48.8157894736842,"Southwest"
19,2020,398,180,20,6.89466666666667,45.1288888888889,"Southwest"
19,2021,141,104,19,7.00183486238532,38.6146788990826,"Southwest"
19,2022,299,129,20,6.55151515151515,37.8969696969697,"Southwest"
19,2023,246,141,21,7.25562130177515,42.4970414201183,"Southwest"
19,2024,444,318,24,6.98651026392962,42.0469208211144,"Southwest"
19,2025,73,46,7,4.5125,37.7916666666667,"Southwest"
21,1974,1560,1285,45,11.0755769230769,NA,"Northwest"
21,1984,871,621,48,9.53524684270953,67.1904761904762,"Northwest"
21,1991,1354,1119,52,9.7602658788774,64.9628571428571,"Northwest"
21,2001,564,487,38,7.91625886524823,48.7904085257549,"Northwest"
21,2002,379,338,33,8.02535620052771,49.0131926121372,"Northwest"
21,2003,384,337,32,7.36229166666667,43.3880208333333,"Northwest"
21,2004,257,233,23,6.84922178988327,38.715953307393,"Northwest"
21,2005,161,104,27,9.73503105590062,49.4782608695652,"Northwest"
