"year","plot","diameter","height","species","status"
2024,18,5.4,33,"Ulmus americana",1
2024,18,14.5,69,"Ulmus americana",1
2024,18,7.3,56,"Quercus texana",1
2024,18,2.1,29,"Ulmus americana",1
2024,18,3.7,33,"Ulmus americana",1
2024,18,NA,NA,"Ulmus americana",2
2024,18,1,13,"Ulmus americana",1
2024,18,7.4,40,"Ulmus americana",1
2024,18,5.3,38,"Ulmus americana",1
2024,18,5.1,36,"Ulmus americana",1
2024,18,9.2,70,"Ulmus americana",1
2024,18,11.3,58,"Ulmus americana",1
2024,18,7.5,50,"Ulmus americana",1
2024,42,21.3,84,"Ulmus americana",1
2024,42,9.4,45,"Ulmus americana",1
2024,42,13.8,74,"Ulmus americana",1
2024,42,13.8,70,"Ulmus americana",1
2024,42,21,84,"Ulmus americana",1
2024,18,4.6,24,"Ulmus americana",1
2024,18,1.4,15,"Ulmus americana",2
2024,18,3,24,"Ulmus americana",2
2024,18,1.6,19,"Ulmus americana",1
2024,18,5.1,43,"Ulmus americana",1
2024,18,5.4,43,"Ulmus americana",1
2024,72,2.3,21,"Ulmus americana",1
2024,72,1.6,23,"Ulmus americana",1
2024,80,3.6,21,"Ulmus americana",1
2024,87,NA,NA,"Quercus texana",2
2024,94,6.8,38,"Ulmus americana",1
2024,94,9.2,55,"Ulmus americana",1
2024,169,13.7,56,"Ulmus americana",1
2024,4,11.4,84,"Quercus texana",1
2024,4,16.9,82,"Quercus texana",1
2024,19,6.7,48,"Quercus texana",1
2024,19,5,23,"Quercus texana",1
2024,23,9.3,58,"Ulmus americana",1
2024,23,13,73,"Ulmus americana",2
2024,25,8.4,28,"Ulmus americana",1
2024,16,NA,NA,"Ulmus americana",2
2024,36,16.9,71,"Ulmus americana",1
2024,41,7,42,"Quercus texana",1
2024,41,7.1,45,"Quercus texana",1
2024,41,5.7,41,"Quercus texana",1
2024,41,6.3,46,"Quercus texana",1
2024,41,6,46,"Quercus texana",2
2024,41,6.6,45,"Quercus texana",1
2024,41,5.4,42,"Quercus texana",1
2024,41,6.7,46,"Quercus texana",2
2024,41,5.9,35,"Quercus texana",2
2024,41,6.9,40,"Quercus texana",1
2024,41,1.2,18,"Ulmus americana",1
2024,41,1.6,19,"Ulmus americana",1
2024,41,1,12,"Ulmus americana",1
2024,41,4.8,43,"Quercus texana",1
2024,41,3.7,39,"Quercus texana",2
2024,41,1.5,13,"Ulmus americana",1
2024,41,9.2,45,"Quercus texana",1
2024,41,7.1,45,"Quercus texana",1
2024,41,7.6,46,"Quercus texana",1
2024,41,9.9,47,"Quercus texana",1
2024,41,6.5,45,"Quercus texana",1
2024,41,9.3,47,"Quercus texana",1
2024,41,5,37,"Quercus texana",1
2024,41,9.1,46,"Quercus texana",1
2024,41,2,23,"Ulmus americana",1
2024,41,1.1,17,"Ulmus americana",1
2024,41,7.9,39,"Quercus texana",1
2024,41,9.2,45,"Quercus texana",1
2024,41,5.2,36,"Quercus texana",1
2024,41,9.1,45,"Quercus texana",1
2024,41,6.7,45,"Quercus texana",1
2024,41,8.8,47,"Quercus texana",1
2024,41,9.4,45,"Quercus texana",1
2024,41,2.2,21,"Quercus texana",1
2024,41,1.6,16,"Quercus texana",2
2024,63,18.1,93,"Ulmus americana",1
2024,63,6.7,57,"Ulmus americana",1
2024,38,11.7,71,"Quercus texana",1
2024,6,13.6,64,"Ulmus americana",1
2024,6,22.2,96,"Ulmus americana",1
2024,6,9.8,62,"Ulmus americana",1
2024,6,15.2,70,"Quercus texana",1
2024,6,6,52,"Ulmus americana",1
2024,6,14.6,75,"Ulmus americana",1
2024,6,9.5,41,"Quercus texana",1
2024,18,NA,NA,"Ulmus americana",0
2024,18,NA,NA,"Ulmus americana",0
2024,18,NA,NA,"Quercus texana",0
2024,18,NA,NA,"Quercus texana",0
2024,18,NA,NA,"Quercus texana",0
2024,18,NA,NA,"Ulmus americana",0
2024,18,NA,NA,"Ulmus americana",0
2024,12,2.5,22,"Ilex opaca",1
2024,12,1,17,"Ilex opaca",1
